Country Name,Country Code,"Stocks, Transactions, and Other Flows Name","Stocks, Transactions, and Other Flows Code",Sector Name,Sector Code,Unit Name,Unit Code,Residence Name,Residence Code,Instrument and Assets Classification Name,Instrument and Assets Classification Code,Attribute,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Indicator Code,Global DSD Time Series Code,Unnamed: 64
Colombia,233,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,624000000000,2899000000000,3059000000000,7145000000000,7410500000000,11512626100000,9687328000000,17695900000000,24379760000000,17354179624308.8,12151157387000,13235900000000,35964787773000,2111679058000,12838511000000,20187570000000,37112572000000,-24630682000000,19926254000000,42632012000000,30143222734489,28830281545632.4,53371570012000,23816909411281.2,39194449332661.6,25786617336240.2,,GADL_T_G14_XDC,A|CO|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Congo, Dem. Rep. of the",636,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,126687,6393333.33333333,266445333.333333,3706513666.66667,122781000,-8000000,,6291000000,,,12061000000,-940000000,-11453058817.9,7120412568.23999,-64203950786.6256,6754927669.95183,-2434644516.13397,8200464854.37401,33438462744.435,-47638540458.0213,97584000000,,6926221304.67001,35928553873.28,-94279649122.3,-8414126849.67002,-81055577452.85,-64070479465.46,314790479204.31,,,GADL_T_G14_XDC,A|CD|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Congo, Rep. of",634,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203968000000,183546000000,-292727000000,-421720000000,-746674000000,-232642000000,-1430040000000,-6199999999.99999,513300000000,210100000000,439400000000,787200000000,701475900000,166700000000,-618200000000,,,GADL_T_G14_XDC,A|CG|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Cook Islands,815,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31487000,13076128,-13133273,27729000,34033857.1628231,,GADL_T_G14_XDC,A|CK|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Costa Rica,238,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424800000000,283000000000,-323923441927.94,657735741204.28,1210487578078.15,826268960000,1479298610000,1211640000000,1600053970660,1652265786259.88,2078142746176.34,2286704077341.69,2498043713807.91,2561770208125.15,,GADL_T_G14_XDC,A|CR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Côte d'Ivoire,662,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,145400000000,,,,,,,,263300000000,126900000000,143100000000,,85000000000,-700000000.000017,-40549200000,295964000000,699175000000,244597000000,550296000000,686245000000,868000000000,814133000000,1323419554000,1158277214661.52,1092925530385.62,,GADL_T_G14_XDC,A|CI|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Croatia, Rep. of",960,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,-2690000,-23500000,-716870000,-1996290000,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|HR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Cyprus,423,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,294972952.839183,418385234.949784,440665397.74533,334424560.120559,266712684.998821,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|CY|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Czech Rep.,935,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,-5169000000,2836000000,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|CZ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Dominica,321,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000000,89700000,14500000,20400000,19000000,11300000,-59300000,-12600000,-58300000,35450000,43527057,49487979.03,96947954.73,102163938.11,29040893.94,,,,,,,GADL_T_G14_XDC,A|DM|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Dominican Rep.,243,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,-72799999.9999999,-745200000,-1537610000,,,-1722200000,-1829700000,,-1777200000,-578600000,,,,17127403173.1,22451475865.9735,20034802002.8689,15659148981.5246,1224138452.47448,60827206185.0746,65649172035.2818,65508427570.5762,64327796021.6563,140594000000,93072680271.8335,70403652694.5477,-3284763664.52477,104375874095.171,120423051878.974,127338320025.913,174944521800.102,,GADL_T_G14_XDC,A|DO|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
